2014-12-11 20:30:14 UTC [63590]: [1-1] LOG:  00000: database system was shut down at 2014-12-11 20:30:12 UTC
2014-12-11 20:30:14 UTC [63590]: [2-1] LOCATION:  StartupXLOG, xlog.c:5987
2014-12-11 20:30:14 UTC [63589]: [1-1] LOG:  00000: database system is ready to accept connections
2014-12-11 20:30:14 UTC [63589]: [2-1] LOCATION:  reaper, postmaster.c:2626
2014-12-11 20:30:14 UTC [63594]: [1-1] LOG:  00000: autovacuum launcher started
2014-12-11 20:30:14 UTC [63594]: [2-1] LOCATION:  AutoVacLauncherMain, autovacuum.c:425
2014-12-11 20:30:14 UTC [63627]: [1-1] LOG:  00000: statement: INSERT INTO time_statistics (task_name, s_time)
	VALUES ('PERF.POWER', CURRENT_TIMESTAMP);
2014-12-11 20:30:14 UTC [63627]: [2-1] LOCATION:  exec_simple_query, postgres.c:887
2014-12-11 20:30:14 UTC [63627]: [3-1] LOG:  00000: EXECUTOR STATISTICS
2014-12-11 20:30:14 UTC [63627]: [4-1] DETAIL:  ! system usage stats:
	!	0.000201 elapsed 0.000203 user 0.000000 system sec
	!	[0.013035 user 0.000000 sys total]
	!	0/0 [2256/272] filesystem blocks in/out
	!	0/33 [0/769] page faults/reclaims, 0 [0] swaps
	!	0 [0] signals rcvd, 0/0 [0/0] messages rcvd/sent
	!	0/0 [45/2] voluntary/involuntary context switches
2014-12-11 20:30:14 UTC [63627]: [5-1] LOCATION:  ShowUsage, postgres.c:4413
2014-12-11 20:30:14 UTC [63627]: [6-1] STATEMENT:  INSERT INTO time_statistics (task_name, s_time)
	VALUES ('PERF.POWER', CURRENT_TIMESTAMP);
2014-12-11 20:30:14 UTC [63631]: [1-1] LOG:  00000: statement: INSERT INTO time_statistics (task_name, s_time)
	VALUES ('PERF.POWER.RF1', CURRENT_TIMESTAMP);
2014-12-11 20:30:14 UTC [63631]: [2-1] LOCATION:  exec_simple_query, postgres.c:887
2014-12-11 20:30:14 UTC [63631]: [3-1] LOG:  00000: EXECUTOR STATISTICS
2014-12-11 20:30:14 UTC [63631]: [4-1] DETAIL:  ! system usage stats:
	!	0.000111 elapsed 0.000000 user 0.000095 system sec
	!	[0.000000 user 0.002675 sys total]
	!	0/0 [0/0] filesystem blocks in/out
	!	0/33 [0/733] page faults/reclaims, 0 [0] swaps
	!	0 [0] signals rcvd, 0/0 [0/0] messages rcvd/sent
	!	0/0 [2/0] voluntary/involuntary context switches
2014-12-11 20:30:14 UTC [63631]: [5-1] LOCATION:  ShowUsage, postgres.c:4413
2014-12-11 20:30:14 UTC [63631]: [6-1] STATEMENT:  INSERT INTO time_statistics (task_name, s_time)
	VALUES ('PERF.POWER.RF1', CURRENT_TIMESTAMP);
2014-12-11 20:30:14 UTC [63639]: [1-1] LOG:  00000: statement: SHOW server_version_num;
2014-12-11 20:30:14 UTC [63639]: [2-1] LOCATION:  exec_simple_query, postgres.c:887
2014-12-11 20:30:14 UTC [63639]: [3-1] LOG:  00000: EXECUTOR STATISTICS
2014-12-11 20:30:14 UTC [63639]: [4-1] DETAIL:  ! system usage stats:
	!	0.000104 elapsed 0.000000 user 0.000105 system sec
	!	[0.000000 user 0.003864 sys total]
	!	0/0 [16/0] filesystem blocks in/out
	!	0/18 [0/595] page faults/reclaims, 0 [0] swaps
	!	0 [0] signals rcvd, 0/0 [0/0] messages rcvd/sent
	!	0/0 [3/0] voluntary/involuntary context switches
2014-12-11 20:30:14 UTC [63639]: [5-1] LOCATION:  ShowUsage, postgres.c:4413
2014-12-11 20:30:14 UTC [63639]: [6-1] STATEMENT:  SHOW server_version_num;
2014-12-11 20:30:14 UTC [63641]: [1-1] LOG:  00000: statement: SELECT version();
2014-12-11 20:30:14 UTC [63641]: [2-1] LOCATION:  exec_simple_query, postgres.c:887
2014-12-11 20:30:14 UTC [63641]: [3-1] LOG:  00000: EXECUTOR STATISTICS
2014-12-11 20:30:14 UTC [63641]: [4-1] DETAIL:  ! system usage stats:
	!	0.000060 elapsed 0.000062 user 0.000000 system sec
	!	[0.003828 user 0.000000 sys total]
	!	0/0 [16/0] filesystem blocks in/out
	!	0/13 [0/693] page faults/reclaims, 0 [0] swaps
	!	0 [0] signals rcvd, 0/0 [0/0] messages rcvd/sent
	!	0/0 [3/0] voluntary/involuntary context switches
2014-12-11 20:30:14 UTC [63641]: [5-1] LOCATION:  ShowUsage, postgres.c:4413
2014-12-11 20:30:14 UTC [63641]: [6-1] STATEMENT:  SELECT version();
2014-12-11 20:30:14 UTC [63644]: [1-1] LOG:  00000: statement: SELECT nextval('dataset');
2014-12-11 20:30:14 UTC [63644]: [2-1] LOCATION:  exec_simple_query, postgres.c:887
2014-12-11 20:30:14 UTC [63644]: [3-1] LOG:  00000: EXECUTOR STATISTICS
2014-12-11 20:30:14 UTC [63644]: [4-1] DETAIL:  ! system usage stats:
